"행정구역별(시도)","연령별",2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"행정구역별(시도)","연령별",아동(12세 이하)-계,단일보육상태-계,부모,조부모(친가외가),기타 가족 및 친인척,가사 도우미베이비시터,혼자 또는 다른아동과 지냄,어린이집,유치원,지역아동센터,방과후학교 초등돌봄교실,학원(예체능포함 놀이학교 영어유치원등),기타,복합보육상태-계,아동의부모+어린이집,아동의부모+방과후학교초등돌봄교실,아동의부모+유치원,아동의부모+아동의 조부모,방과후학교 초등돌봄교실+지역아동센터,복합수단기타
"읍부","12세",42349,31458,15575,1882,434,26,3391,-,-,578,1491,8012,69,10891,-,756,-,381,85,9669
"면부","합계",309796,221111,106906,16653,1778,627,5768,35145,13915,4579,17983,17488,269,88685,21064,9413,9431,6064,1922,40791
"면부","0세",17284,15758,14388,723,53,156,-,390,-,-,-,-,48,1526,204,-,-,1097,-,225
"면부","1세",18972,15352,10522,1092,62,52,-,3613,-,-,-,-,11,3620,2223,-,-,890,-,507
"면부","2세",20135,14410,6104,731,49,50,-,7470,-,-,-,-,6,5725,4389,-,-,466,-,870
"면부","3세",21541,14639,4984,707,62,45,-,7999,842,-,-,-,-,6902,5122,-,563,209,-,1008
"면부","4세",24579,16359,5241,855,71,46,-,6593,3551,-,-,-,2,8220,3918,-,2532,289,-,1481
"면부","5세",25971,17525,6059,1036,99,60,-,5447,4821,-,-,-,3,8446,3189,-,3391,391,-,1475
"면부","6세",24974,17123,6446,1261,119,51,95,3633,4701,77,530,197,13,7851,2019,361,2945,317,53,2156
"면부","7세",24988,16654,8996,1503,132,29,308,-,-,493,3412,1758,23,8334,-,2092,-,422,345,5475
"면부","8세",28039,18770,9235,1957,206,24,618,-,-,709,3585,2420,16,9269,-,2079,-,466,346,6378
"면부","9세",28635,19790,9661,1837,207,57,926,-,-,894,3019,3156,33,8845,-,1642,-,401,336,6466
"면부","10세",26621,19244,9190,1853,235,19,1172,-,-,964,2600,3189,22,7377,-,1210,-,471,319,5377
"면부","11세",25620,18612,8659,1600,226,10,1201,-,-,822,2569,3485,40,7008,-,1079,-,324,320,5285
"면부","12세",22437,16875,7421,1498,257,28,1448,-,-,620,2268,3283,52,5562,-,950,-,321,203,4088
"서울특별시","합계",803123,580864,340493,68087,6072,11116,14640,72662,27530,3349,14310,22096,509,222259,48284,6632,24045,26773,358,116167
"서울특별시","0세",47264,39739,35348,2389,129,1110,-,645,-,-,-,-,118,7525,418,-,-,4861,-,2246
"서울특별시","1세",50116,38046,24583,4396,107,1125,-,7807,-,-,-,-,28,12070,5231,-,-,2986,-,3853
"서울특별시","2세",53479,35276,14624,3632,180,718,-,16109,-,-,-,-,13,18203,10897,-,-,1629,-,5677
"서울특별시","3세",55984,36136,13490,3089,157,633,-,17254,1500,-,-,-,13,19848,11827,-,1243,1069,-,5709
"서울특별시","4세",64004,41059,15218,3936,267,902,-,12843,7860,-,-,-,33,22945,8369,-,6860,1230,-,6486
"서울특별시","5세",65859,42566,17162,4335,254,852,-,10354,9592,-,-,-,17,23293,6808,-,8684,1444,-,6357
"서울특별시","6세",65042,44483,20960,5241,301,881,83,7650,8578,68,515,177,29,20559,4734,271,7258,1246,16,7034
"서울특별시","7세",65551,47552,32524,6561,545,1064,489,-,-,459,3954,1942,14,17999,-,1936,-,2857,77,13129
"서울특별시","8세",71215,53112,34969,8152,510,917,1283,-,-,592,3866,2775,48,18103,-,1671,-,2365,61,14006
"서울특별시","9세",69669,51675,33872,7599,789,892,1941,-,-,589,2473,3497,23,17994,-,1135,-,2245,86,14528
"서울특별시","10세",67799,52121,34179,6958,848,793,2799,-,-,613,1569,4290,72,15678,-,797,-,1863,41,12977
"서울특별시","11세",66857,51551,33402,6515,1052,721,3569,-,-,619,1032,4594,47,15306,-,499,-,1703,43,13061
"서울특별시","12세",60284,47548,30162,5284,933,508,4476,-,-,409,901,4821,54,12736,-,323,-,1275,34,11104
"부산광역시","합계",300363,206619,116921,22010,1864,1186,4693,23521,13647,1074,5900,15646,157,93744,18876,4329,12978,7839,276,49446
"부산광역시","0세",15650,13756,12441,777,50,224,-,189,-,-,-,-,75,1894,119,-,-,1311,-,464
